Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
tiled|0.0224776698314,centerline|0.0369226785297,vascular|0.0432359060556,awarenes|0.0173119810626,arc|0.0200722685494,biomedical|0.035082905253,fiber|0.0333383716187,query|0.00987247142476,camera|0.0207805935778,uncertainty|0.0142467290566,flattening|0.0137574420229,weather|0.0119845567349,flow|0.00981948567251,training|0.0335004719929,trajectory|0.0120403876493,focus-and-context|0.0145145706672,user's|0.0129597591642,3-d|0.029019144523,em|0.0260835863928,procedural|0.0122590140816
subjective|0.0187446961194,advance|0.0161492064908,cloud|0.0331267541742,therapy|0.0115033591544,disease|0.0175695593645,unlike|0.0127083141077,colon|0.0227587326373,evaluation|0.00971884836569,neuroscience|0.0141402380522,quantify|0.0115310622157,x-ray|0.010047770682,confirm|0.0109377436473,volume|0.00680393516346,assemble|0.0202616782909,cluster|0.0106186628997,nerve|0.0112949513106,contour|0.0117076033603,sensing|0.0231001702989,segmentation|0.0211621802341,manual|0.01086579836
lagrangian|0.0179045188879,manual|0.0144379631599,lighting|0.0307083634303,topologically|0.0112906013527,1000|0.0168840668993,evaluating|0.0123094747692,ambient|0.0117938929775,visual|0.00850373214295,individual|0.0133949590086,color-coded|0.0111958609688,naive|0.009904469236,keyframe|0.0103501448528,simulation|0.00677844486077,community|0.0188349849468,light|0.00975427178175,neighborhood|0.0110732511758,out-of-core|0.0100727960312,apus|0.0143510769507,diffusion|0.0165146625219,pose|0.0105026394111
scalable|0.0156243754207,skeleton|0.0120752166769,illumination|0.0287865093791,quantify|0.0109416926065,blend|0.0114799451987,contrast|0.0113206117175,noise|0.0107052005068,user|0.00637874664151,expert|0.0127289390033,brightnes|0.00948549570389,eg|0.00986102346883,classifier|0.00434650751131,framework|0.00637968938721,connecting|0.0151043582294,offer|0.0079385680712,registration|0.0105505184204,specialist|0.0100505500519,nontrivial|0.0117214173472,preintegration|0.0120171002711,standardized|0.0101631432427
reshaping|0.0125057417649,low-level|0.0111422288063,vessel|0.0254779021599,successive|0.00990809248519,lab|0.0110616929838,adjusted|0.0103753150304,colonoscopy|0.00905398094591,practice|0.00621407996023,tomography|0.0107279330178,illustrative|0.00564839607498,tessellation|0.00874487681153,style|0.00430054194282,design|0.00616274036573,least|0.0127165384483,scale|0.00780790211586,blobby|0.00990305991534,validation|0.00980808459592,service|0.00529247586679,high-frequency|0.0104505754935,closer|0.00900809952424
aliasing|0.0118164534786,builder|0.0109497932583,non-spatial|0.0243461053839,implication|0.00587032907098,traffic|0.0106481051537,criterium|0.00975908111202,graphics)|0.00852443084893,motion|0.00569455351276,tone|0.00958160374292,subspace|0.00559555548665,sweep|0.00857703522477,space-time|0.00306367129822,scattering|0.00593445779328,visibility|0.0107100744705,global|0.00750606423005,versatile|0.00862806290589,mental|0.00961986708147,cad|0.0049301799933,delivering|0.0097364877072,automation|0.00838761387348
consuming|0.011396285835,gb|0.0107654720548,luman|0.0151762537512,city|0.00495632828658,simpler|0.00980097896455,vortice|0.00882662965035,(computer|0.00852443084893,analysi|0.00565848632016,despite|0.00896061708123,suggestion|0.00403250121209,serve|0.00847210612333,major|0.00293494531834,modeling|0.00573348627624,high-dimensional|0.0104844197152,representative|0.00656145152619,monitoring|0.0076238809282,bay|0.00906828889273,analyst|0.00383417980743,colored|0.00904787443151,sometime|0.00834042153553
parameterized|0.0110504918936,precisely|0.00998751481273,pathology|0.0147667072215,captured|0.00417848693467,roughly|0.00976027784813,relative|0.00804792836575,lense|0.00806572025925,heat|0.00505970117544,analyst|0.00863186508535,statistical|0.00299203405699,spherical|0.00828495325057,student|0.00290305071508,analysi|0.00549912909748,chance|0.00979485051283,free|0.00617458070665,timeline|0.00444346151314,happened|0.00888268704163,conjunction|0.00374369120242,community|0.00901728192605,spatiotemporal|0.0056454048534
tuning|0.0107082761989,tediou|0.00974090492489,systematic|0.014174644721,landscape|0.00375602601055,semi-transparent|0.00938562704585,1997|0.00757411071889,reasoning|0.00762631697057,shape|0.00488608175296,cardiovascular|0.00861570099613,descriptor|0.00297851920229,iterative|0.00821972642563,sharing|0.00289553109275,rendering|0.00549504007548,indistinguishable|0.00974440761221,sample|0.00599639569325,included|0.00424832200289,taxonomy|0.00661082307694,retrieval|0.00351194634627,determining|0.00883797451337,story|0.00422828837671
increased|0.00957097361629,increased|0.00916616251691,algebra|0.0108980877863,member|0.00348478620187,sensemaking|0.00920602507313,style|0.00698892936468,ambiguou|0.00726427950174,conference|0.00485698556835,focused|0.00814608325497,association|0.00273924253196,km|0.00768239151604,non-linear|0.00276834583166,spatial|0.00529433495726,infeasible|0.00924394706986,tracking|0.00580693685314,professional|0.00395568059634,symmetry|0.00472690217881,recommendation|0.003188778303,cover|0.0081909084627,invariant|0.00379584162464
