Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
flow|0.0217764944914,despite|0.02095245965,fiber|0.0307536590431,scattering|0.038750360023,vascular|0.0706694164165,cardiovascular|0.0124123545257,training|0.0465681710865,ieee|0.0265995504251,non-spatial|0.0470347163605,morse|0.0255499982275,span|0.0111608259256,learner|0.0186066828374,builder|0.0139352979211,volume|0.00799618389307,microscopy|0.0255456944925,camera|0.018939850232,preintegration|0.0132381084376,focus-and-context|0.0151342697961,lighting|0.0163585244434,em|0.0235397043943
cloud|0.0175676480182,orthographic|0.0190710634355,trajectory|0.0152138407654,neuroscience|0.0179998797248,vessel|0.0416678027285,subjective|0.0121702580629,algebra|0.0210671302784,assemble|0.0206104720772,centerline|0.0364663713289,evaluated|0.0192867562064,gb|0.0101989220595,tiled|0.0147424467991,nerve|0.0133569035299,analysi|0.00712859842804,tone|0.0136522145146,ability|0.0159166216448,intermediate|0.0122568665682,regularization|0.0137331384244,imaging|0.0137521668707,oscillation|0.0175605931537
colon|0.0166200645894,realizing|0.0136273703269,representative|0.00826904931731,transport|0.0137009187225,pathology|0.0241501797528,km|0.0117653090096,inverse|0.0196204783002,tracking|0.0121681789597,connecting|0.0209833483165,querying|0.014327501674,nontrivial|0.00962453958642,3-d|0.0129336464265,v|0.0112803085273,design|0.00679306900262,tangible|0.0123431705665,practice|0.0127968782379,free|0.0120894873108,shaped|0.0125483418035,spatial|0.00927386939642,custom|0.0130503442327
blood|0.0141855029682,place|0.00970621122635,systematic|0.00795489852274,sensing|0.0122058663041,ambiguou|0.016669878306,visibility|0.0107366006408,transient|0.00996042271836,sheer|0.0094968766403,filtered|0.0123643311981,ten|0.0124681501164,questionnaire|0.00902827437267,rich|0.0120946542138,analytical|0.00713237025305,rendering|0.0064483761051,learning|0.0115674226004,conference|0.0101958944106,optimized|0.0115644798963,prevalent|0.01046992486,expert|0.00923743774929,domain-specific|0.0119667575072
simulation|0.012451116429,touch|0.00415576266658,comparison|0.00777304223964,last|0.00951249278982,high-quality|0.0116958235844,focused|0.00962341154019,text|0.00983853829712,history|0.00925523921843,suggesting|0.0119555514548,high-quality|0.0116965857224,aneurysm|0.00873853160753,least|0.0119323541923,matching|0.00589956237617,visual|0.00597366708905,perception|0.0106024866613,spatial|0.0095036985176,tracking|0.0110998465553,look-up|0.0100778409061,manual|0.00753136783953,awarenes|0.0112909257154
reformation|0.00985599748588,professional|0.00408971096298,connection|0.00726598208014,high-frequency|0.00844273883447,geared|0.0102023176633,analyst|0.00914042667842,routine|0.00887917176972,scalable|0.00878274577104,replace|0.00871363787029,navigated|0.0113654139684,organized|0.00839708523723,script|0.00841530817997,asked|0.00450679742396,datum|0.00589133103578,light|0.0102183635442,creating|0.00809340275152,anisotropy|0.0110421209071,brightnes|0.0090672829089,luman|0.00724780468737,rapidly|0.0110351829856
modeling|0.00886660559538,database|0.00393880210097,analytic|0.00674051948326,broad|0.00757180911749,polishing|0.0096371865513,latest|0.00825493114197,analysing|0.00872395061565,customized|0.00817986921082,text|0.00617675067136,readability|0.0113216841881,sometime|0.00823300553072,discovered|0.00825429386216,md|0.00379627040022,framework|0.00580135523598,feedback|0.0081288891579,reality|0.00742041279235,coherent|0.0110033463228,word|0.00592671331749,naive|0.00698820422501,philosophy|0.00892860012466
surface|0.00881768552319,photo|0.00317982910116,year|0.00661001982039,cover|0.00753080944517,stationary|0.0095123968548,discipline|0.00814481324381,automation|0.00870668516875,confirmed|0.00814964343304,illustrative|0.00471066123325,procedural|0.010507014578,assessing|0.00818486745087,literature|0.00783130057511,regression|0.00363766854717,query|0.00543569750495,adopted|0.0078165235538,task|0.00683220437859,optimal|0.0107439578607,matter|0.00374221812502,tomography|0.00658915257725,apus|0.00847859090866
flattening|0.00866209095576,talk|0.00312240726516,reported|0.00648197300367,emerging|0.00677477360293,stenose|0.00919466322747,prior|0.00800017472358,biological|0.00804851807026,radial|0.00814641419661,hypothesis|0.0046990393305,optimally|0.00992109768239,priorus|0.00780800006838,contour|0.00774137013658,expres|0.00239181252577,user|0.00515779529948,therapy|0.00751205620537,workflow|0.0067427881535,pathological|0.0082983608716,assumption|0.00358967421094,task|0.00653417039268,linked|0.00836322356468
heat|0.00846353654316,student|0.00300981246843,additionally|0.00632994713671,radiology|0.00664241333479,electron|0.00855305428726,substantially|0.00770775944742,geospatial|0.00569473782505,collect|0.00798634913557,biological|0.00373428630551,blend|0.00971268018394,testing|0.00629934559945,low-level|0.0073159546405,creativity|0.00233645958837,evaluation|0.00498923991907,dark|0.0074719744132,interface|0.00666630552314,inspired|0.00804442377584,advection|0.0031875741757,reinforced|0.0060040217568,periodic|0.00766333749045
