Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
training|0.05156247545,vascular|0.0411066689988,centerline|0.0250768134831,scattering|0.0232845326142,flow|0.00894821065762,review|0.0137622366218,em|0.023519069286,colon|0.0609949925474,appropriately|0.0148269720088,fiber|0.0778047464143,tone|0.0165972069015,reasoning|0.019245021728,algebra|0.0202173495477,camera|0.00987025194383,trajectory|0.0230494167589,delivering|0.0136619539779,lighting|0.030919066007,neuroscience|0.0273680323463,style|0.0147286231123,microscopy|0.0229818130801
tiled|0.0245684203498,vessel|0.0242324879424,expert|0.0193782400956,illumination|0.0209713638391,volume|0.00738690235774,practice|0.0129997216561,redistribute|0.00989688202312,oscillation|0.025318255806,look-up|0.0103954341682,cloud|0.0549280496632,philosophy|0.0108617463583,connecting|0.0191761627935,uncertainty|0.0171383570849,light|0.00726503033203,morse|0.0198137120456,broad|0.013151193885,flattening|0.016859213301,1000|0.0167741910958,subjective|0.0137260719291,assemble|0.0220926746031
naive|0.0193925287503,blood|0.0226572334594,pipeline|0.0115057901326,non-spatial|0.0174431635317,design|0.00671096399479,tomography|0.0102058112312,indistinguishable|0.00944753915573,colonoscopy|0.0242653013352,replace|0.0102432150855,ambiguou|0.016983185912,discovered|0.0104259941364,arc|0.01868129971,orthographic|0.0161731998459,enable|0.00706684833296,lense|0.0140637217922,stationary|0.0120620310255,representative|0.0127674271396,last|0.016266148371,disease|0.0132418775556,wall|0.0209287164701
free-form|0.0111341650523,reformation|0.0178943320122,focused|0.0110819785726,biomedical|0.0142015370923,visual|0.0058774350202,physically|0.00991562257154,sheer|0.0089463456688,quantify|0.019784584821,translucency|0.00997186268671,tracking|0.00999292845086,literature|0.00989165716963,lagrangian|0.016543107859,history|0.0121370894692,analysi|0.00669677124002,despite|0.0119665681328,gb|0.0114133203318,spherical|0.0102638214599,segmentation|0.0123662220592,cfd|0.0120450308478,thin|0.0134605819136
confirm|0.0110837142712,ieee|0.01727126317,anisotropy|0.010568582053,noise|0.0132356741209,datum|0.00586656973495,high-quality|0.00962865743247,partition|0.00763866531731,periodic|0.0110487742341,controlled|0.00965843883015,comprising|0.00877472433126,dark|0.00951236612988,reliable|0.0141931944028,low-level|0.0105670381984,community|0.00658414873554,node|0.0102965408005,solver|0.0109367202744,opacity|0.0101078573689,simply|0.01160583689,toolkit|0.00983906849174,frequently|0.0111815746279
security|0.0075750677636,pathology|0.0140448801291,high-frequency|0.00939381963157,transport|0.00830364475744,rendering|0.0056228906742,inverse|0.00936920193321,out-of-core|0.00730059193295,topologically|0.0106168451345,traffic|0.00512628169743,tediou|0.00833634879524,confirmed|0.00934584225497,fuzzy|0.00997823974442,color-coded|0.00901691856291,comparison|0.00644309850843,specifically|0.00920911035104,accessed|0.00830408266617,transfer|0.00867073561225,contour|0.0111991687036,commercial|0.00863536200359,intervention|0.00904930794052
labeling|0.00491290339547,systematic|0.0137047217124,mature|0.00882773925579,tessellation|0.00823095523935,evaluation|0.00560636575381,aneurysm|0.00859494421216,nerve|0.00710648396001,predicted|0.00877218218185,news|0.00489191894719,calibration|0.00823710961751,monitoring|0.00916703523801,pose|0.00987700468384,defect|0.0088861530718,imaging|0.00609453327013,vast|0.00824122162813,medium|0.00661850100878,optimal|0.00782948065658,span|0.0111902375171,substantially|0.00852844424341,polishing|0.00873309571827
decision-making|0.00451160153796,luman|0.0134358094798,brain|0.00861624140195,high-dimensional|0.00706877318008,query|0.00524299156628,benefit|0.00831920801965,chart|0.00672768493454,illustration|0.00613314590974,overlap|0.00442387859718,successive|0.00730689875996,great|0.00860165147871,inspection|0.0091805554872,analysing|0.00837209098985,motion|0.00575501025074,geared|0.00780234285014,vast|0.00431371794514,objective|0.00716257030344,collaborator|0.0105776115007,parameterized|0.00809187052118,planning|0.00859508083933
greater|0.0025972894464,exact|0.00872162618166,reading|0.00847149327536,km|0.0066314591904,user|0.00497590833141,least|0.00827241348979,usefulnes|0.00662152483277,word|0.00517453595646,preference|0.00371634866531,temperature|0.00623861458331,become|0.00837708920774,entity|0.00894142479243,assessment|0.00797996029922,ambient|0.00559466294071,adaptation|0.00722662705248,social|0.00396513806532,infeasible|0.00679119703762,modified|0.0100410837435,intent|0.00802111491906,electron|0.00784256113936
convex|0.00207656874502,segmentation|0.00853588080725,suggesting|0.0082214621813,denoising|0.00661094921619,spatial|0.00481497496896,reinforced|0.00810324605814,avoid|0.00652615290273,text|0.00506577087551,update|0.00342480349718,extracting|0.00597577948183,insufficient|0.00803399195017,contribute|0.00861651112475,unlike|0.00720061586882,interface|0.00527833226794,generalizing|0.0068270656911,note|0.00362622949037,procedural|0.00666879358125,larger|0.009952647081,drag|0.00795157388494,time-resolved|0.00774988680985
gp|0.00204753624323,diagnosi|0.00788877979575,accommodate|0.00805120327506,description|0.0058051253804,method|0.0047371703392,depth|0.0079973561127,alleviate|0.00651227292742,analyst|0.00427033944559,voronous|0.0031886665591,acquisition|0.00541587616362,determination|0.00781873516305,industrial|0.00832173857264,optical|0.00644412587749,conference|0.00522483935867,specialist|0.0064715206203,earth|0.00333264799611,readability|0.00636046283537,discretization|0.00968091391372,formulation|0.0078942513018,patient-specific|0.00757687815699
intersection|0.00186885902794,optimized|0.00747008419456,robust|0.00772744590895,split|0.00573565619899,analysi|0.00466239874554,domain-specific|0.00798765048469,recover|0.00648313070836,predicting|0.00311445021698,transparency|0.00299099262194,vortex|0.00490555519639,assessing|0.00716502891752,rich|0.00729028508945,critical|0.00635001204578,simulation|0.0051976825493,inspired|0.00627334770137,course|0.00289279335696,skeleton|0.00630683209159,roughly|0.00959897747775,feel|0.00778266416198,partially|0.00733289464906
money|0.00179719317267,predicate|0.00706507259125,collect|0.00750014065991,phase|0.00531539766598,modeling|0.00442834769268,ensemble|0.00709350999778,laplacian|0.0062573551025,document|0.00306431057599,localization|0.00291571651335,climate|0.00419751916735,impact|0.0068199208498,advance|0.00704575814194,low-cost|0.00583257786892,individual|0.00481657371495,constant|0.00622337668452,student|0.00285028535207,script|0.00626734178015,organized|0.00841920598769,topic|0.00760142917139,walkthrough|0.00721535365114
positioning|0.00177231973565,recent|0.00658862750695,consequently|0.00716692311394,implicit|0.00530452151294,ability|0.00441713654219,testing|0.00659619213656,motivate|0.0057853443071,workload|0.00293082540281,actor|0.00273392759654,eye|0.0041267571444,active|0.00593653036412,subsequent|0.00691103225396,commonly|0.00520517211904,learner|0.0047615261679,high-quality|0.00616277678235,tensor|0.00260954390372,adopted|0.00603775001368,brightnes|0.00765156041185,precisely|0.00732165476634,soft|0.00713832271072
cartesian|0.00176754458332,knowledge|0.00613183078371,square|0.00708896091512,chance|0.00507299085031,framework|0.0043949037053,perceivable|0.0062656939652,regular|0.00572023855223,thinking|0.00286473306664,conflict|0.00243894082491,bundle|0.00376327529968,maintaining|0.00581171897741,aim|0.00648018079517,subspace|0.0045065310144,reality|0.00449111145403,close|0.00603828889385,bia|0.00254193076148,imply|0.00600071160283,kind|0.0056304180293,large-scale|0.00713106174375,tissue|0.00693044995432
animal|0.00176595823324,surface|0.00601556699267,practice|0.00696307469274,gabor|0.00506967382637,visualization|0.00424990876294,currently|0.0056754363226,earlier|0.00570251977263,recommendation|0.00271617657889,political|0.00231425514684,streak|0.00373937595227,evolution|0.00565623012392,massles|0.00644010323414,lattice|0.00402206348721,creating|0.00445066612608,relative|0.00601125000003,comparable|0.00241984303794,radial|0.00588335199823,perceived|0.00255491909908,prevalent|0.00681809210251,v|0.00682942798864
person|0.00169672411055,consuming|0.00581979012756,indicate|0.00655369056211,depth|0.00491960077687,field|0.00423428713483,specific|0.00559759869113,solve|0.00521518158332,sensitivity|0.00243712918379,addressing|0.0022282712661,guided|0.00318283570273,perception|0.00483670606136,quantitative|0.00599667374435,browser|0.00391739183024,input|0.00434719599203,routine|0.00574489388059,science|0.00235229411322,biopsy|0.00585288446976,clutter|0.00243115315318,applicability|0.00671806402074,incorporating|0.00669482587449
