Paper ID	Conference	Year	Title	DOI	Link	First Page	Last Page	IEEE Xplore Article Number	INSPEC Controlled	INSPEC Non-Controlled	IEEE Terms	Author Keywords	Abstract	Author Names	Author Affiliations	Author IDs
	InfoVis+SciVis	Nov.-Dec. 2007	Visual Analysis of Network Traffic for Resource Planning, Interactive Monitoring, and Interpretation of Security Threats	10.1109/TVCG.2007.70522	http://dx.doi.org/10.1109/TVCG.2007.70522	1105	1112	4376129	IP networks;Internet;data visualisation;security of data;telecommunication network planning;telecommunication security;telecommunication traffic	IP address space;Internet;Treemap;interactive monitoring;interactive visualization;network infrastructure;network traffic;personal computers;resource planning;security threats interpretation	Computer security;Computerized monitoring;Continents;Data analysis;Data security;Data visualization;IP networks;Protection;Stability;Telecommunication traffic	Information visualization;network monitoring;network security;treemap	The Internet has become a wild place: malicious code is spread on personal computers across the world, deploying botnets ready to attack the network infrastructure. The vast number of security incidents and other anomalies overwhelms attempts at manual analysis, especially when monitoring service provider backbone links. We present an approach to interactive visualization with a case study indicating that interactive visualization can be applied to gain more insight into these large data sets. We superimpose a hierarchy on IP address space, and study the suitability of Treemap variants for each hierarchy level. Because viewing the whole IP hierarchy at once is not practical for most tasks, we evaluate layout stability when eliding large parts of the hierarchy, while maintaining the visibility and ordering of the data of interest.	Mansmann, F.	Univ. of Konstanz, Konstanz|c|	
	InfoVis+SciVis	Nov.-Dec. 2007	AdaptiviTree: Adaptive Tree Visualization for Tournament-Style Brackets	10.1109/TVCG.2007.70537	http://dx.doi.org/10.1109/TVCG.2007.70537	1113	1120	4376130	computer games;data visualisation;human factors;sport;tree data structures	AdaptiviTree visualization;adaptive tree visualization;online fantasy games;prediction display;statistics;tournament-style brackets	Displays;Economic forecasting;Educational institutions;Industrial economics;Jupiter;Monitoring;Shape;Statistics;Toy industry;Visualization	Online fantasy sports;adaptive tree visualization.;bracket;picks;tournament	Online pick'em games, such as the recent NCAA college basketball March Madness tournament, form a large and rapidly growing industry. In these games, players make predictions on a tournament bracket that defines which competitors play each other and how they proceed toward a single champion. Throughout the course of the tournament, players monitor the brackets to track progress and to compare predictions made by multiple players. This is often a complex sense making task. The classic bracket visualization was designed for use on paper and utilizes an incrementally additive system in which the winner of each match-up is rewritten in the next round as the tournament progresses. Unfortunately, this representation requires a significant amount of space and makes it relatively difficult to get a quick overview of the tournament state since competitors take arbitrary paths through the static bracket. In this paper, we present AdaptiviTree, a novel visualization that adaptively deforms the representation of the tree and uses its shape to convey outcome information. AdaptiviTree not only provides a more compact and understandable representation, but also allows overlays that display predictions as well as other statistics. We describe results from a lab study we conducted to explore the efficacy of AdaptiviTree, as well as from a deployment of the system in a recent real-world sports tournament.	Tan, D.S.;Smith, G.;Bongshin Lee;Robertson, G.G.	Microsoft Res., Redmond|c|;;;	37955052000;37960251500;37293389400;37448060300
	InfoVis+SciVis	Nov.-Dec. 2007	ManyEyes: a Site for Visualization at Internet Scale	10.1109/TVCG.2007.70577	http://dx.doi.org/10.1109/TVCG.2007.70577	1121	1128	4376131	Web sites;data analysis;data visualisation	Internet scale;Many Eyes;data analysis;data visualization;public Web site	Collaboration;Collaborative tools;Data analysis;Data visualization;Displays;Eyes;Internet;Publishing;Space technology;Web page design	Communication-Minded Visualization.;Social Data Analysis;Social Software;Visualization;World Wide Web	We describe the design and deployment of Many Eyes, a public Web site where users may upload data, create interactive visualizations, and carry on discussions. The goal of the site is to support collaboration around visualizations at a large scale by fostering a social style of data analysis in which visualizations not only serve as a discovery tool for individuals but also as a medium to spur discussion among users. To support this goal, the site includes novel mechanisms for end-user creation of visualizations and asynchronous collaboration around those visualizations. In addition to describing these technologies, we provide a preliminary report on the activity of our users.	Viegas, F.B.;Wattenberg, M.;van Ham, F.;Kriss, J.;McKeon, M.	IBM Res., Yorktown Heights|c|;;;;	37681355300;37550759700;37326291000;37830149600;37542455400
	InfoVis+SciVis	Nov.-Dec. 2007	Scented Widgets: Improving Navigation Cues with Embedded Visualizations	10.1109/TVCG.2007.70589	http://dx.doi.org/10.1109/TVCG.2007.70589	1129	1136	4376132	data visualisation;graphical user interfaces	design guidelines;embedded visualizations;graphical user interface controls;information spaces navigation;navigation cues;scented widgets;visual cues	Animal structures;Application software;Collaboration;Costs;Data analysis;Data visualization;Guidelines;Radio navigation;Switches;User interfaces	Information visualization;information foraging;social data analysis;social navigation;user interface toolkits	This paper presents scented widgets, graphical user interface controls enhanced with embedded visualizations that facilitate navigation in information spaces. We describe design guidelines for adding visual cues to common user interface widgets such as radio buttons, sliders, and combo boxes and contribute a general software framework for applying scented widgets within applications with minimal modifications to existing source code. We provide a number of example applications and describe a controlled experiment which finds that users exploring unfamiliar data make up to twice as many unique discoveries using widgets imbued with social navigation data. However, these differences equalize as familiarity with the data increases.	Willett, W.;Heer, J.;Agrawala, M.	Univ. of California, Berkeley|c|;;	37945380800;37550791300;37282718200
	InfoVis+SciVis	Nov.-Dec. 2007	Show Me: Automatic Presentation for Visual Analysis	10.1109/TVCG.2007.70594	http://dx.doi.org/10.1109/TVCG.2007.70594	1137	1144	4376133	algebraic specification;data analysis;data visualisation;specification languages;user interfaces	algebraic specification language;automatic presentation;data analysis;data visualization;graphic design;small multiple display;user interface;visual analysis system	Best practices;Data analysis;Data visualization;Displays;Encoding;Graphics;Information analysis;Specification languages;User interfaces	Automatic presentation;best practices;data visualization;graphic design;small multiples.;visual analysis	This paper describes Show Me, an integrated set of user interface commands and defaults that incorporate automatic presentation into a commercial visual analysis system called Tableau. A key aspect of Tableau is VizQL, a language for specifying views, which is used by Show Me to extend automatic presentation to the generation of tables of views (commonly called small multiple displays). A key research issue for the commercial application of automatic presentation is the user experience, which must support the flow of visual analysis. User experience has not been the focus of previous research on automatic presentation. The Show Me user experience includes the automatic selection of mark types, a command to add a single field to a view, and a pair of commands to build views for multiple fields. Although the use of these defaults and commands is optional, user interface logs indicate that Show Me is used by commercial users.	Mackinlay, J.;Hanrahan, P.;Stolte, C.	Tableau Software, Seattle|c|;;	37372036700;37349803800;37442008700
	InfoVis+SciVis	Nov.-Dec. 2007	Casual Information Visualization: Depictions of Data in Everyday Life	10.1109/TVCG.2007.70541	http://dx.doi.org/10.1109/TVCG.2007.70541	1145	1152	4376134	data visualisation	ambient infovis;casual audiences;casual information visualization;casual infovis;cognition;interactive visual model;social infovis;system evaluation	Cognition;Data visualization;Finance;Focusing;Government;Information analysis;Refining;Technology management;Testing;Vocabulary	Casual information visualization;ambient infovis;design;editorial;evaluation.;social infovis	Information visualization has often focused on providing deep insight for expert user populations and on techniques for amplifying cognition through complicated interactive visual models. This paper proposes a new subdomain for infovis research that complements the focus on analytic tasks and expert use. Instead of work-related and analytically driven infovis, we propose casual information visualization (or casual infovis) as a complement to more traditional infovis domains. Traditional infovis systems, techniques, and methods do not easily lend themselves to the broad range of user populations, from expert to novices, or from work tasks to more everyday situations. We propose definitions, perspectives, and research directions for further investigations of this emerging subfield. These perspectives build from ambient information visualization (Skog et al., 2003), social visualization, and also from artistic work that visualizes information (Viegas and Wattenberg, 2007). We seek to provide a perspective on infovis that integrates these research agendas under a coherent vocabulary and framework for design. We enumerate the following contributions. First, we demonstrate how blurry the boundary of infovis is by examining systems that exhibit many of the putative properties of infovis systems, but perhaps would not be considered so. Second, we explore the notion of insight and how, instead of a monolithic definition of insight, there may be multiple types, each with particular characteristics. Third, we discuss design challenges for systems intended for casual audiences. Finally we conclude with challenges for system evaluation in this emerging subfield.	Pousman, Z.;Stasko, J.T.;Mateas, M.	Georgia Inst.of Technol, Atlanta|c|;;	37945316800;37267736900;37329261300
	InfoVis+SciVis	Nov.-Dec. 2007	Geographically Weighted Visualization: Interactive Graphics for Scale-Varying Exploratory Analysis	10.1109/TVCG.2007.70558	http://dx.doi.org/10.1109/TVCG.2007.70558	1161	1168	4376135	data visualisation;geographic information systems;interactive systems;statistical analysis	geographically weighted visualization;geowigs;interactive graphics;multivariate local variation;multivariate statistical value;scale-varying exploratory analysis	Ethics;Extraterrestrial measurements;Extraterrestrial phenomena;Geography;Graphics;Software prototyping;Statistical analysis;Statistical distributions;Statistics;Visualization	Geographical weighting;coordinated views;directional;exploratory data analysis;interaction;multivariate;scale		Dykes, J.;Brunsdon, C.	City Univ., London|c|;	37605079900;37945380100
	InfoVis+SciVis	Nov.-Dec. 2007	Visualizing the History of Living Spaces	10.1109/TVCG.2007.70621	http://dx.doi.org/10.1109/TVCG.2007.70621	1153	1160	4376136	data visualisation;human factors;image motion analysis;image sensors;spatiotemporal phenomena;user interfaces;video cameras	building designer;data visualisation;living space;motion sensor;video camera	Buildings;Cameras;History;Humans;Information security;Large-scale systems;Monitoring;Privacy;Space technology;Visualization	Sensor networks;spatio-temporal visualization.;surveillance;timeline;user interfaces	The technology available to building designers now makes it possible to monitor buildings on a very large scale. Video cameras and motion sensors are commonplace in practically every office space, and are slowly making their way into living spaces. The application of such technologies, in particular video cameras, while improving security, also violates privacy. On the other hand, motion sensors, while being privacy-conscious, typically do not provide enough information for a human operator to maintain the same degree of awareness about the space that can be achieved by using video cameras. We propose a novel approach in which we use a large number of simple motion sensors and a small set of video cameras to monitor a large office space. In our system we deployed 215 motion sensors and six video cameras to monitor the 3,000-square-meter office space occupied by 80 people for a period of about one year. The main problem in operating such systems is finding a way to present this highly multidimensional data, which includes both spatial and temporal components, to a human operator to allow browsing and searching recorded data in an efficient and intuitive way. In this paper we present our experiences and the solutions that we have developed in the course of our work on the system. We consider this work to be the first step in helping designers and managers of building systems gain access to information about occupants' behavior in the context of an entire building in a way that is only minimally intrusive to the occupants' privacy.	Ivanov, Y.A.	Mitsubuishi Electr. Res. Labs.|c|	
	InfoVis+SciVis	Nov.-Dec. 2007	Legible Cities: Focus-Dependent Multi-Resolution Visualization of Urban Relationships	10.1109/TVCG.2007.70574	http://dx.doi.org/10.1109/TVCG.2007.70574	1169	1175	4376137	data visualisation;interactive systems;town and country planning	focus-dependent multiresolution visualization;information visualization view displays;interactive urban visualization tool;urban model 3D view;urban relationships	Aggregates;Buildings;Cities and towns;Cognitive science;Computer architecture;Computer science;Data visualization;Electronic mail;Three dimensional displays;Urban planning	information visualization;multi-resolution;urban models	Numerous systems have been developed to display large collections of data for urban contexts; however, most have focused on layering of single dimensions of data and manual calculations to understand relationships within the urban environment. Furthermore, these systems often limit the user's perspectives on the data, thereby diminishing the user's spatial understanding of the viewing region. In this paper, we introduce a highly interactive urban visualization tool that provides intuitive understanding of the urban data. Our system utilizes an aggregation method that combines buildings and city blocks into legible clusters, thus providing continuous levels of abstraction while preserving the user's mental model of the city. In conjunction with a 3D view of the urban model, a separate but integrated information visualization view displays multiple disparate dimensions of the urban data, allowing the user to understand the urban environment both spatially and cognitively in one glance. For our evaluation, expert users from various backgrounds viewed a real city model with census data and confirmed that our system allowed them to gain more intuitive and deeper understanding of the urban model from different perspectives and levels of abstraction than existing commercial urban visualization systems.	Chang, R.;Wessel, G.;Kosara, R.;Sauda, E.;Ribarsky, W.	UNC Charlotte, Charlotte|c|;;;;	37592409400;37948880500;37282563400;37945352600;37300425000
	InfoVis+SciVis	Nov.-Dec. 2007	Interactive Visual Exploration of a Large Spatio-temporal Dataset: Reflections on a Geovisualization Mashup.	10.1109/TVCG.2007.70570	http://dx.doi.org/10.1109/TVCG.2007.70570	1176	1183	4376138	SQL;data visualisation;geographic information systems;spatiotemporal phenomena	Google Earth;KML;LandSerf GIS;MySQL;PHP;data dials;de facto exchange standards;geographical mashups;geovisualization mashup;interactive visual exploration;mobile directory service;multi-scale density surfaces;spatial tag clouds;spatio-temporal dataset;tag maps;visual encodings	Application software;Data mining;Data visualization;Earth;Encoding;Filters;Geographic Information Systems;Mashups;Reflection;Spatial resolution	Large dataset visualization;applications of infovis.;geographic visualization;multiresolution visualization;text and document visualization	Exploratory visual analysis is useful for the preliminary investigation of large structured, multifaceted spatio-temporal datasets. This process requires the selection and aggregation of records by time, space and attribute, the ability to transform data and the flexibility to apply appropriate visual encodings and interactions. We propose an approach inspired by geographical 'mashups' in which freely-available functionality and data are loosely but flexibly combined using de facto exchange standards. Our case study combines MySQL, PHP and the LandSerf GIS to allow Google Earth to be used for visual synthesis and interaction with encodings described in KML. This approach is applied to the exploration of a log of 1.42 million requests made of a mobile directory service. Novel combinations of interaction and visual encoding are developed including spatial 'tag clouds', 'tag maps', 'data dials' and multi-scale density surfaces. Four aspects of the approach are informally evaluated: the visual encodings employed, their success in the visual exploration of the dataset, the specific tools used and the 'mashup' approach. Preliminary findings will be beneficial to others considering using mashups for visualization. The specific techniques developed may be more widely applied to offer insights into the structure of multifarious spatio-temporal data of the type explored here.	Wood, J.;Dykes, J.;Slingsby, A.;Clarke, K.	City Univ., London|c|;;;	37399045100;37605079900;37590960700;37548107100
