Paper ID	Conference	Year	Title	DOI	Link	First Page	Last Page	IEEE Xplore Article Number	INSPEC Controlled	INSPEC Non-Controlled	IEEE Terms	Author Keywords	Abstract	Author Names	Author Affiliations	Author IDs
	SciVis	22-25 Oct 1991	Volume rendering of flow-visualization point data	10.1109/VISUAL.1991.175772	http://dx.doi.org/10.1109/VISUAL.1991.175772	25	32	175772	computer graphics;digital simulation;flow simulation;flow visualisation;interpolation;physics computing;splines (mathematics)	B-spline approximation;flow visualization techniques;linear interpolation;point data;volume rendering	Aerospace materials;Computer science;Data visualization;Image motion analysis;Interpolation;Optical refraction;Optical sensors;Optical variables control;Spline;Springs		A survey of 2D and 3D flow visualization techniques is provided. The approach is based on applying volume rendering to flow-visualization data. Linear interpolation and B-spline approximation are used, and several views are given for both. Suggestions for efficient volume rendering are provided	Swann, P.G.;Semwal, S.K.	Dept. of Comput. Sci., Colorado Univ., Colorado Springs, CO, USA|c|;	38227300900;37938882400
	SciVis	22-25 Oct 1991	Visualizing 4-D medical ultrasound data	10.1109/VISUAL.1991.175802	http://dx.doi.org/10.1109/VISUAL.1991.175802	210	215	175802	biomedical ultrasonics;computer graphics;computerised picture processing;medical computing	4D data;image analysis;image processing;maximum value projection;medical ultrasound data;rendering methods;signal to noise ratio;sum of values projection;surface shading;transparent gray level gradient shading;volumetric data set	Biomedical imaging;Data visualization;Magnetic cores;Medical diagnostic imaging;Rendering (computer graphics);Sampling methods;Solid modeling;Spatial resolution;Ultrasonic imaging;Ultrasonic variables measurement		Different standard rendering methods applied to 4-D medical ultrasound data are discussed. In particular, maximum value projection, sum of values projection, transparent gray level gradient shading, and surface shading have been tested. Due to the fact that ultrasound data suffer from a low signal to noise ratio, image processing and image analysis are used to enhance and classify the volumetric data set	Thune, N.;Olstad, B.	Dept. of Sci. & Technol., Christian Michelsen Inst., Fantoft, Norway|c|;	37974090900;37355728400
	SciVis	22-25 Oct 1991	In vivo blood flow visualization with magnetic resonance imaging	10.1109/VISUAL.1991.175801	http://dx.doi.org/10.1109/VISUAL.1991.175801	202	209, 423	175801	biomedical NMR;blood;computer graphics;flow visualisation	animation;blood flow visualization;flow pattern rendering;image data;magnetic resonance imaging;particle tracing	Background noise;Blood flow;Data visualization;Fluid dynamics;Image coding;Image processing;In vivo;Magnetic resonance;Magnetic resonance imaging;Rendering (computer graphics)		Blood movement investigated by magnetic resonance (MR) velocity mapping is generally presented in the form of velocity components in one or more chosen velocity encoding directions. By viewing these components separately, it is difficult for MR practitioners to conceptualize and comprehend the underlying flow structures, especially when the image data have strong background noise. A flow visualization technique that adapts the idea of particle tracing used in classical fluid dynamics for visualizing flow is presented. The flow image processing relies on the strong correlation between the principal flow direction estimated from the distribution of the modulus of the velocity field and the direction derived from the raw image data. By correlation calculation, severe background noise can be eliminated. Flow pattern rendering and animation provide an efficient way for representing internal flow structures	Yang, G.Z.;Kilner, P.J.;Mohiaddin, R.H.	Dept. of Comput., Imperial Coll., London Univ., UK|c|;;	37276270800;37372075800;37272738600
	SciVis	22-25 Oct 1991	Multi-valued volumetric visualization	10.1109/VISUAL.1991.175804	http://dx.doi.org/10.1109/VISUAL.1991.175804	218	225, 424	175804	computer graphics	color-blended contour regions;contour curves;hypersurface projection graphs;isovalue surface construction;multiple volumetric rendering techniques;projection graphs on surfaces;volumetric data;volumetric visualization	Computer science;Data visualization;Displays;Geologic measurements;Geology;Interpolation;Mesh generation;Scattering;Sea measurements;Sea surface		Effective methods for visualizing several sets of volumetric data simultaneously are presented. The methods involve the composition of multiple volumetric rendering techniques. These techniques include contour curves, color-blended contour regions, projection graphs on surfaces, isovalue surface construction, and hypersurface projection graphs	Foley, T.A.;Lane, D.A.	Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA|c|;	37393753600;38227316500
	SciVis	22-25 Oct 1991	Deixis and the future of visualization excellence	10.1109/VISUAL.1991.175820	http://dx.doi.org/10.1109/VISUAL.1991.175820	314	320, 431	175820			Communication effectiveness;Computer graphics;Fingers;Labeling;Layout;Mice;Motion pictures;Turning;Visualization		The authors maintain that of particular importance for visualization excellence is an understanding of effective deictic facilities, especially new techniques made possible by computation. They explain what deixis is and why it is fundamental to visualization and they analyze some of the requirements for effective deixis in the context of emergent visualization technology	Hill, W.C.;Hollan, J.D.	;	38226914800;38227448300
	SciVis	22-25 Oct 1991	Realistic volume imaging	10.1109/VISUAL.1991.175805	http://dx.doi.org/10.1109/VISUAL.1991.175805	226	231, 425	175805	computer graphics;geometrical optics	3D raster;biomedical datasets;constructive solid geometry;discrete recursive ray tracer;illumination phenomena;mirrors;ray tracer;realistic volume imaging;recursive ray tracing;shadows;specularity;volume visualization tools;voxel space	Biomedical computing;Extraterrestrial phenomena;Geometry;Layout;Lighting;Mirrors;Ray tracing;Solids;Vehicles;Visualization		A set of volume visualization tools that are based on the use of recursive ray tracing as the primary vehicle for realistic volume imaging is presented. The tools include shadows, mirrors, specularity, and constructive solid geometry. The underlying representation for the ray tracer is a 3-D raster of voxels that holds the discrete form of the scene. Unlike traditional volume rendering techniques, the discrete recursive ray tracer models many illumination phenomena by traversing discrete rays in voxel space. The approach provides true ray tracing of sampled or computed datasets, as well as ray tracing of hybrid scenes where sampled or computed data are intermixed with geometric models and enhances the understanding of complex biomedical datasets	Yagel, R.;Kaufman, A.;Zhang, Q.	Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA|c|;;	37342422500;37268052800;38225529300
	SciVis	22-25 Oct 1991	Visualizing the fourth dimension using geometry and light	10.1109/VISUAL.1991.175821	http://dx.doi.org/10.1109/VISUAL.1991.175821	321	328, 432	175821	computational geometry;solid modelling	3D shading;4th dimension visualisation;circles;curves;geometry;image production;light;mathematical objects;shadows;solids;spheres;stereography;surfaces;volume renderings	Education;Geometry;Humans;Image analysis;Image converters;Joining processes;Production;Rendering (computer graphics);Solids;Visualization		Techniques for visualizing mathematical objects in four-dimensional (4D) space that exploit four-dimensional lighting effects are explored. The geometry of image production, stereography, and shadows in 4D is analyzed. Alternatives for smooth and specular shaded rendering of curves, surfaces, and solids in 4D are examined and a new approach that systematically converts curves or surfaces into uniquely renderable solids in 4D space by attaching spheres or circles to each point is proposed. Analogs of 3D shading methods are used to produce volume renderings that distinguish objects whose 3D projections from 4D are identical. Analyzing the procedures needed to justify and evaluate a system as this for teaching humans to `see' in four dimensions leads to the proposal of a generally applicable four-step visualization paradigm	Hanson, A.J.;Heng, P.A.	Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA|c|;	37333439100;37388382500
	SciVis	22-25 Oct 1991	Interactive data exploration with a supercomputer	10.1109/VISUAL.1991.175809	http://dx.doi.org/10.1109/VISUAL.1991.175809	248	254	175809	computer graphics;data analysis;parallel programming	exploratory data visualization;massively parallel processor;supercomputer	Computer displays;Computer science;Data visualization;Gray-scale;Multidimensional systems;Rendering (computer graphics);Shape;Size control;Supercomputers;Workstations		An experiment in exploratory data visualization using a massively parallel processor is described. In exploratory data visualization, it is typically not known what is being looked for: instead, the data are explored with a variety of visualization techniques that can illuminate its nature by demonstrating patterns in it. With this approach, the authors were able to find new features in some of their oldest datasets and to create more vivid presentations of familiar features in these datasets. Their experience has also led to a better understanding of the nature of the exploratory visualization and has resulted in some formal representations of the interaction process in this environment	Smith, S.;Grinstein, G.;Bergeron, R.D.	Dept. of Comput. Sci., Lowell Univ., MA, USA|c|;;	38165288100;38470495100;38227675400
	SciVis	22-25 Oct 1991	The visual comparison of three sequences	10.1109/VISUAL.1991.175797	http://dx.doi.org/10.1109/VISUAL.1991.175797	179	186	175797	computer graphics;series (mathematics)	3D shape;colors;correlations;geometric shapes;numbers;qualitative relationships;sequence differences;sequence similarities;symbols;visual sequence comparison	Biomedical signal processing;Computer science;DNA;Humans;Image analysis;Image sequence analysis;Performance analysis;Shape;Signal analysis;Speech analysis		A method of visual comparison is described, that provides the scientist with a unique tool to study the qualitative relationships between three sequences of numbers or symbols. The program displays a 3D shape containing the sequence similarities and differences, which manifest themselves as simple geometric shapes and colors that a human observer can easily detect and classify. The method presents all possible correlations to the user, giving it a considerable advantage over existing sequence comparison tools that only search for a programmed subset of all possible correlations. Thus, using this technique, researchers may detect sequence similarities that other analytic methods might completely overlook. The program can also filter out undesirable or insignificant correlations. The technique is easily adapted to a wide range of applications	Hinckley, K.P.;Ward, M.O.	Dept. of Comput. Sci., Worchester Polytech. Inst., MA, USA|c|;	38224220100;38181928000
	SciVis	22-25 Oct 1991	A tool for visualizing the topology of three-dimensional vector fields	10.1109/VISUAL.1991.175773	http://dx.doi.org/10.1109/VISUAL.1991.175773	33	40, 408	175773			Computer displays;Data visualization;Differential equations;Eigenvalues and eigenfunctions;Isosurfaces;Joining processes;NASA;Taylor series;Three dimensional displays;Topology			Globus, A.;Levit, C.;Lasinski, T.	;;	37377256900;37671515100;37671524000
